年份,基站总数（万个）,5G基站（万个）,5G占比（%）
2019,841,13.6,1.6
2020,931,71.8,7.7
2021,996,142.5,14.3
2022,1083,231.2,21.3
2023,1137,337.7,29.7
2024,1265,425.1,33.6
2025,1287,483.8,37.6
