年份,天翼云收入（亿元）,移动云收入（亿元）,联通云收入（亿元）,天翼云增速（%）,移动云增速（%）,联通云增速（%）
2021,~279,~242,~163,~87,~114,~46
2022,~579,~503,~321,~108,~108,~143
2023,972,833,510,~67.9,~65.6,~41.6
2024,1139,1004,686,~17.1,~20.4,~17.1
