年份,支出规模（万亿美元）,备注
2023,2.1,实际
2024,~2.5,CAGR推算
2025,~2.9,CAGR推算
2026,~3.3,CAGR推算
2027,~3.9,IDC预测
2028,~4.4,IDC预测
